REG_ANS;Trimestre;Ano;ValorDespesas
316849;1T;2025;292907.23
316903;1T;2025;102223.76
316903;1T;2025;18995.81
316903;1T;2025;3657.1
318213;1T;2025;54581.8
318213;1T;2025;365647.93
318213;1T;2025;31843.31
318213;1T;2025;350616.54
318213;1T;2025;7955.63
318213;1T;2025;632005.95
318213;1T;2025;485188.89
318213;1T;2025;1213976.68
318213;1T;2025;91245.97
318213;1T;2025;1390754.74
318213;1T;2025;28772.22
318213;1T;2025;2450522.86
318213;1T;2025;85633.24
318213;1T;2025;600201.6
318213;1T;2025;1417.88
318213;1T;2025;690383.39
318213;1T;2025;0.3
318213;1T;2025;208259.66
318213;1T;2025;1494.04
318213;1T;2025;468.51
318213;1T;2025;2220.16
318213;1T;2025;1500634.49
318213;1T;2025;1339249.2
318213;1T;2025;4761.19
318213;1T;2025;638.42
318213;1T;2025;1168.75
318213;1T;2025;4919584.58
318213;1T;2025;6109593.74
318213;1T;2025;1423.12
318213;1T;2025;397666.29
312720;1T;2025;76263.74
312720;1T;2025;1885260.08
312720;1T;2025;34475.32
312720;1T;2025;61543.54
312720;1T;2025;154521.79
312720;1T;2025;2918203.76
312720;1T;2025;889057.56
312720;1T;2025;100.0
312720;1T;2025;2478778.78
312720;1T;2025;113988.18
312720;1T;2025;1453898.82
312720;1T;2025;192062.3
312720;1T;2025;4863778.21
312720;1T;2025;125823.77
312720;1T;2025;106026.22
312720;1T;2025;38057.08
312720;1T;2025;4537021.79
312720;1T;2025;942352.44
312720;1T;2025;5884.51
312720;1T;2025;5435743.38
312720;1T;2025;168298.39
312720;1T;2025;3373957.31
312720;1T;2025;298125.01
312720;1T;2025;108.25
312720;1T;2025;749102.62
312720;1T;2025;21523.94
312720;1T;2025;1702358.0
312720;1T;2025;4075603.41
312720;1T;2025;459878.44
312720;1T;2025;13702.07
312720;1T;2025;2162305.91
312720;1T;2025;291943.02
312720;1T;2025;2689518.29
312720;1T;2025;202773.89
312720;1T;2025;2816.83
312720;1T;2025;199005.86
312720;1T;2025;9840.5
312720;1T;2025;89345.47
312720;1T;2025;3287.24
312720;1T;2025;2436678.37
312720;1T;2025;13239.97
312720;1T;2025;2619.76
312720;1T;2025;824593.82
312720;1T;2025;502.67
312720;1T;2025;90247.93
312720;1T;2025;2155.2
312720;1T;2025;181658.79
312720;1T;2025;27737.28
312720;1T;2025;36074.21
312720;1T;2025;14721.53
312720;1T;2025;462682.31
312720;1T;2025;328368.27
314099;1T;2025;261632.0
314099;1T;2025;383148.74
314099;1T;2025;2819600.49
314099;1T;2025;1591626.16
314099;1T;2025;1835779.4
314099;1T;2025;12960288.89
314099;1T;2025;2217107.85
314099;1T;2025;1439428.74
314099;1T;2025;10229431.34
314099;1T;2025;61329.54
314099;1T;2025;8777417.03
314099;1T;2025;352016.71
314099;1T;2025;191637.93
314099;1T;2025;52633.5
314099;1T;2025;81945.98
314099;1T;2025;454670.98
314099;1T;2025;59860.11
314099;1T;2025;91996.57
314099;1T;2025;597298.29
314099;1T;2025;410457.23
314099;1T;2025;4506.57
314099;1T;2025;9757.06
314099;1T;2025;556353.36
314099;1T;2025;895507.01
314099;1T;2025;4118219.41
314099;1T;2025;27026.8
314099;1T;2025;647637.57
314099;1T;2025;1123609.06
314099;1T;2025;2928797.19
314099;1T;2025;12728714.2
315648;1T;2025;151596.92
315648;1T;2025;791640.42
315648;1T;2025;49530.64
315648;1T;2025;193739.28
315648;1T;2025;8402.43
315648;1T;2025;1585151.15
315648;1T;2025;156930.03
315648;1T;2025;1356230.88
315648;1T;2025;95020.92
315648;1T;2025;174780.5
315648;1T;2025;4216.03
315648;1T;2025;1087097.4
315648;1T;2025;10000.0
315648;1T;2025;712216.46
315648;1T;2025;15785.94
315648;1T;2025;24547.44
315648;1T;2025;1920.28
315648;1T;2025;5979.68
315648;1T;2025;60553.35
315648;1T;2025;13932.06
315648;1T;2025;214.0
315648;1T;2025;173225.61
315648;1T;2025;385500.67
315648;1T;2025;35051.64
315648;1T;2025;118509.56
315648;1T;2025;13535.56
315648;1T;2025;1509606.86
315648;1T;2025;510.01
315648;1T;2025;84400.6
315648;1T;2025;66607.62
315648;1T;2025;837796.16
315648;1T;2025;485.51
315648;1T;2025;41775.6
315648;1T;2025;1070.97
315648;1T;2025;320965.89
315648;1T;2025;134242.12
315648;1T;2025;1156543.58
318213;1T;2025;443810.93
318213;1T;2025;168.76
318213;1T;2025;123.49
318213;1T;2025;517.11
318213;1T;2025;736.92
318213;1T;2025;9972.33
318213;1T;2025;80032.26
318213;1T;2025;5824.82
318213;1T;2025;59788.92
318213;1T;2025;396.42
318213;1T;2025;164160.79
318213;1T;2025;570.16
318213;1T;2025;2290.5
318213;1T;2025;258049.67
318213;1T;2025;359371.58
318213;1T;2025;1196.66
318213;1T;2025;8722.4
318213;1T;2025;129976.2
318213;1T;2025;6935.47
318213;1T;2025;156457.61
318213;1T;2025;539705.49
318213;1T;2025;18410.12
318213;1T;2025;512990.74
318213;1T;2025;256.2
318213;1T;2025;496655.82
318213;1T;2025;49868.61
318213;1T;2025;432448.12
318213;1T;2025;1018.04
318213;1T;2025;482663.79
318213;1T;2025;385972.71
318213;1T;2025;772.45
318213;1T;2025;45751.86
318213;1T;2025;276.2
318213;1T;2025;25165.87
318213;1T;2025;100827.16
318213;1T;2025;15204.43
318213;1T;2025;4789.41
318213;1T;2025;348058.8
318213;1T;2025;314013.55
318213;1T;2025;108822.41
318213;1T;2025;2800.0
318213;1T;2025;43757.25
318213;1T;2025;2640.7
318213;1T;2025;22353.85
318213;1T;2025;106718.57
318213;1T;2025;350.0
318213;1T;2025;135429.14
318213;1T;2025;126568.04
312720;1T;2025;961679.47
312720;1T;2025;1628.8
312720;1T;2025;1414658.37
312720;1T;2025;8800.15
312720;1T;2025;474078.83
312720;1T;2025;184.66
312720;1T;2025;17126.16
312720;1T;2025;1590.3
312720;1T;2025;463737.86
312720;1T;2025;149374.74
312720;1T;2025;226068.38
312720;1T;2025;128702.38
312720;1T;2025;1783.04
312720;1T;2025;5179536.3
312720;1T;2025;71876.16
312720;1T;2025;6018823.91
312720;1T;2025;397414.26
312720;1T;2025;2472541.92
312720;1T;2025;154980.24
312720;1T;2025;71951771.98
312720;1T;2025;889565.47
312720;1T;2025;102094.15
312720;1T;2025;26540493.4
312720;1T;2025;139098.54
312720;1T;2025;1289387.13
312720;1T;2025;7534.31
312720;1T;2025;2460130.76
312720;1T;2025;682.52
312720;1T;2025;186269.04
312720;1T;2025;7836407.65
312720;1T;2025;109168.68
312720;1T;2025;2729.23
312720;1T;2025;21732157.56
312720;1T;2025;49655.05
312720;1T;2025;45694109.01
312720;1T;2025;232493.52
312720;1T;2025;67976.03
312720;1T;2025;15287999.74
312720;1T;2025;11063.14
312720;1T;2025;3109361.9
312720;1T;2025;150695.5
312720;1T;2025;7791124.62
312720;1T;2025;1275.88
312720;1T;2025;20171.45
312720;1T;2025;106933.92
312720;1T;2025;13930.42
312720;1T;2025;840176.43
312720;1T;2025;2760.0
313211;1T;2025;110298.89
313211;1T;2025;1050158.51
313211;1T;2025;178.29
313211;1T;2025;105271.99
313211;1T;2025;84144.25
313211;1T;2025;4086235.43
313211;1T;2025;5884.43
313211;1T;2025;63203.45
313211;1T;2025;21.1
313211;1T;2025;5306.43
313211;1T;2025;442987.4
313211;1T;2025;63113.89
313211;1T;2025;332790.82
313211;1T;2025;2054615.23
313211;1T;2025;2756.82
313211;1T;2025;22365.26
314099;1T;2025;362409.1
314099;1T;2025;34891.0
314099;1T;2025;25248.5
314099;1T;2025;263717.41
314099;1T;2025;14390.0
314099;1T;2025;39283.42
314099;1T;2025;115406.7
314099;1T;2025;262283.82
314099;1T;2025;16293.77
314099;1T;2025;393054.51
314251;1T;2025;12382478.13
314251;1T;2025;79449.69
314251;1T;2025;3865081.59
314251;1T;2025;1649937.95
314251;1T;2025;286634.33
314251;1T;2025;29476.28
315648;1T;2025;4254.8
315648;1T;2025;198811.86
315648;1T;2025;3231.22
315648;1T;2025;1509866.4
315648;1T;2025;15556.22
315648;1T;2025;73.2
315648;1T;2025;1117.18
315648;1T;2025;906.1
315648;1T;2025;332.7
315648;1T;2025;480.24
315648;1T;2025;60147.57
315648;1T;2025;238500.0
312720;1T;2025;410896.83
312720;1T;2025;822341.43
312720;1T;2025;-84.32
312720;1T;2025;150225.61
312720;1T;2025;32361.49
312720;1T;2025;4476.29
312720;1T;2025;88865.69
312720;1T;2025;170613.31
312720;1T;2025;126657.45
312720;1T;2025;260432.96
312720;1T;2025;50413.49
313211;1T;2025;259392.47
313211;1T;2025;4593064.69
313211;1T;2025;206.51
313211;1T;2025;767733.85
313211;1T;2025;126.12
313211;1T;2025;10083833.2
313211;1T;2025;216403.38
313211;1T;2025;1018048.12
